value0, value1, value2, value3, value4, value5, value6, value7, value8, value9, value10, value11, value12, value13, value14, value15, value16, value17, value18, value19, value20, value21, value22, value23
-5.49994, -4.38106, -3.50915, -2.7742, -2.51637, -2.29961, -1.4757, -1.17951, -1.01808, -0.20532, 0.68495, 1.51349, 2.80651, 3.63505, 4.52532, 5.33808, 5.49951, 5.7957, 6.61961, 6.83637, 7.0942, 7.82915, 8.70106, 9.81994
-5.50364, -4.38461, -3.48754, -2.77764, -2.49686, -2.3241, -1.49531, -1.1831, -1.00081, -0.217098, 0.703599, 1.50449, 2.81551, 3.6164, 4.5371, 5.32081, 5.5031, 5.81531, 6.6441, 6.81685, 7.09764, 7.80754, 8.70461, 9.82364
-5.5072, -4.38802, -3.46585, -2.78095, -2.47729, -2.34856, -1.51498, -1.18656, -0.983549, -0.229144, 0.722247, 1.49499, 2.82501, 3.59775, 4.54914, 5.30355, 5.50656, 5.83498, 6.66856, 6.79729, 7.10095, 7.78585, 8.70802, 9.8272
-5.51061, -4.39129, -3.44409, -2.78413, -2.45769, -2.37299, -1.5347, -1.18987, -0.966289, -0.241449, 0.740891, 1.48502, 2.83498, 3.57911, 4.56145, 5.28629, 5.50987, 5.8547, 6.69299, 6.77769, 7.10413, 7.76409, 8.71129, 9.83061
-5.51388, -4.39442, -3.42225, -2.78718, -2.43803, -2.39739, -1.55448, -1.19305, -0.949036, -0.254004, 0.759526, 1.47459, 2.84541, 3.56047, 4.574, 5.26904, 5.51305, 5.87448, 6.71739, 6.75803, 7.10718, 7.74225, 8.71442, 9.83388
-5.517, -4.39741, -3.40033, -2.79008, -2.42176, -2.41834, -1.57431, -1.19609, -0.931793, -0.266801, 0.778149, 1.4637, 2.8563, 3.54185, 4.5868, 5.25179, 5.51609, 5.89431, 6.73834, 6.74176, 7.11008, 7.72033, 8.71741, 9.837
-5.51998, -4.40027, -3.37833, -2.79286, -2.44609, -2.3986, -1.59419, -1.19898, -0.914562, -0.27983, 0.796756, 1.45238, 2.86762, 3.52324, 4.59983, 5.23456, 5.51898, 5.91419, 6.7186, 6.76609, 7.11286, 7.69833, 8.72027, 9.83998
-5.52281, -4.40299, -3.35626, -2.7955, -2.47039, -2.37882, -1.61411, -1.20174, -0.897346, -0.293083, 0.815343, 1.44064, 2.87936, 3.50466, 4.61308, 5.21735, 5.52174, 5.93411, 6.69882, 6.79039, 7.1155, 7.67626, 8.72299, 9.84281
-5.5255, -4.40556, -3.33411, -2.798, -2.49465, -2.359, -1.63407, -1.20435, -0.880148, -0.306553, 0.833905, 1.42849, 2.89151, 3.4861, 4.62655, 5.20015, 5.52435, 5.95407, 6.679, 6.81465, 7.118, 7.65411, 8.72556, 9.8455
-5.52804, -4.408, -3.31189, -2.80038, -2.51887, -2.33914, -1.65407, -1.20682, -0.862972, -0.320231, 0.852437, 1.41595, 2.90405, 3.46756, 4.64023, 5.18297, 5.52682, 5.97407, 6.65914, 6.83887, 7.12038, 7.63189, 8.728, 9.84804
